task,dataset,llm_summarizer,summarization_prompt,judging_llm,judging_prompt,metric,score,label
CLASSIFICATION,299_libras_move,llama4,zeroshot,llama4,judge_zeroshot,Accuracy,2,Average
CLASSIFICATION,299_libras_move,llama4,zeroshot,llama4,judge_zeroshot,Clarity,3,Good
CLASSIFICATION,299_libras_move,llama4,zeroshot,llama4,judge_zeroshot,Completeness,1,Poor
CLASSIFICATION,299_libras_move,llama4,zeroshot,llama4,judge_zeroshot,Relevance,1,Poor
CLASSIFICATION,299_libras_move,llama4,zeroshot,gpt-4.1-mini,judge_zeroshot,Accuracy,4,Excellent
CLASSIFICATION,299_libras_move,llama4,zeroshot,gpt-4.1-mini,judge_zeroshot,Clarity,4,Excellent
CLASSIFICATION,299_libras_move,llama4,zeroshot,gpt-4.1-mini,judge_zeroshot,Completeness,2,Average
CLASSIFICATION,299_libras_move,llama4,zeroshot,gpt-4.1-mini,judge_zeroshot,Relevance,2,Average
CLASSIFICATION,299_libras_move,llama4,zeroshot,deepseek-r1:14b,judge_zeroshot,Accuracy,2,Average
CLASSIFICATION,299_libras_move,llama4,zeroshot,deepseek-r1:14b,judge_zeroshot,Clarity,4,Excellent
CLASSIFICATION,299_libras_move,llama4,zeroshot,deepseek-r1:14b,judge_zeroshot,Completeness,2,Average
CLASSIFICATION,299_libras_move,llama4,zeroshot,deepseek-r1:14b,judge_zeroshot,Relevance,2,Average
CLASSIFICATION,299_libras_move,llama4,zeroshot_instruction,llama4,judge_zeroshot,Accuracy,2,Average
CLASSIFICATION,299_libras_move,llama4,zeroshot_instruction,llama4,judge_zeroshot,Clarity,3,Good
CLASSIFICATION,299_libras_move,llama4,zeroshot_instruction,llama4,judge_zeroshot,Completeness,1,Poor
CLASSIFICATION,299_libras_move,llama4,zeroshot_instruction,llama4,judge_zeroshot,Relevance,2,Average
CLASSIFICATION,299_libras_move,llama4,zeroshot_instruction,gpt-4.1-mini,judge_zeroshot,Accuracy,4,Excellent
CLASSIFICATION,299_libras_move,llama4,zeroshot_instruction,gpt-4.1-mini,judge_zeroshot,Clarity,4,Excellent
CLASSIFICATION,299_libras_move,llama4,zeroshot_instruction,gpt-4.1-mini,judge_zeroshot,Completeness,2,Average
CLASSIFICATION,299_libras_move,llama4,zeroshot_instruction,gpt-4.1-mini,judge_zeroshot,Relevance,4,Excellent
CLASSIFICATION,299_libras_move,llama4,zeroshot_instruction,deepseek-r1:14b,judge_zeroshot,Accuracy,3,Good
CLASSIFICATION,299_libras_move,llama4,zeroshot_instruction,deepseek-r1:14b,judge_zeroshot,Clarity,4,Excellent
CLASSIFICATION,299_libras_move,llama4,zeroshot_instruction,deepseek-r1:14b,judge_zeroshot,Completeness,2,Average
CLASSIFICATION,299_libras_move,llama4,zeroshot_instruction,deepseek-r1:14b,judge_zeroshot,Relevance,4,Excellent
CLASSIFICATION,299_libras_move,llama4,fewshot,llama4,judge_zeroshot,Accuracy,3,Good
CLASSIFICATION,299_libras_move,llama4,fewshot,llama4,judge_zeroshot,Clarity,4,Excellent
CLASSIFICATION,299_libras_move,llama4,fewshot,llama4,judge_zeroshot,Completeness,2,Average
CLASSIFICATION,299_libras_move,llama4,fewshot,llama4,judge_zeroshot,Relevance,3,Good
CLASSIFICATION,299_libras_move,llama4,fewshot,gpt-4.1-mini,judge_zeroshot,Accuracy,4,Excellent
CLASSIFICATION,299_libras_move,llama4,fewshot,gpt-4.1-mini,judge_zeroshot,Clarity,4,Excellent
CLASSIFICATION,299_libras_move,llama4,fewshot,gpt-4.1-mini,judge_zeroshot,Completeness,2,Average
CLASSIFICATION,299_libras_move,llama4,fewshot,gpt-4.1-mini,judge_zeroshot,Relevance,4,Excellent
CLASSIFICATION,299_libras_move,llama4,fewshot,deepseek-r1:14b,judge_zeroshot,Accuracy,3,Good
CLASSIFICATION,299_libras_move,llama4,fewshot,deepseek-r1:14b,judge_zeroshot,Clarity,4,Excellent
CLASSIFICATION,299_libras_move,llama4,fewshot,deepseek-r1:14b,judge_zeroshot,Completeness,2,Average
CLASSIFICATION,299_libras_move,llama4,fewshot,deepseek-r1:14b,judge_zeroshot,Relevance,4,Excellent
CLASSIFICATION,299_libras_move,llama4,chain_of_thought,llama4,judge_zeroshot,Accuracy,3,Good
CLASSIFICATION,299_libras_move,llama4,chain_of_thought,llama4,judge_zeroshot,Clarity,3,Good
CLASSIFICATION,299_libras_move,llama4,chain_of_thought,llama4,judge_zeroshot,Completeness,2,Average
CLASSIFICATION,299_libras_move,llama4,chain_of_thought,llama4,judge_zeroshot,Relevance,3,Good
CLASSIFICATION,299_libras_move,llama4,chain_of_thought,gpt-4.1-mini,judge_zeroshot,Accuracy,4,Excellent
CLASSIFICATION,299_libras_move,llama4,chain_of_thought,gpt-4.1-mini,judge_zeroshot,Clarity,4,Excellent
CLASSIFICATION,299_libras_move,llama4,chain_of_thought,gpt-4.1-mini,judge_zeroshot,Completeness,2,Average
CLASSIFICATION,299_libras_move,llama4,chain_of_thought,gpt-4.1-mini,judge_zeroshot,Relevance,4,Excellent
CLASSIFICATION,299_libras_move,llama4,chain_of_thought,deepseek-r1:14b,judge_zeroshot,Accuracy,2,Poor
CLASSIFICATION,299_libras_move,llama4,chain_of_thought,deepseek-r1:14b,judge_zeroshot,Clarity,3,Good
CLASSIFICATION,299_libras_move,llama4,chain_of_thought,deepseek-r1:14b,judge_zeroshot,Completeness,2,Average
CLASSIFICATION,299_libras_move,llama4,chain_of_thought,deepseek-r1:14b,judge_zeroshot,Relevance,2,Poor
CLASSIFICATION,299_libras_move,llama4,zeroshot_CoT,llama4,judge_zeroshot,Accuracy,4,Excellent
CLASSIFICATION,299_libras_move,llama4,zeroshot_CoT,llama4,judge_zeroshot,Clarity,4,Excellent
CLASSIFICATION,299_libras_move,llama4,zeroshot_CoT,llama4,judge_zeroshot,Completeness,3,Good
CLASSIFICATION,299_libras_move,llama4,zeroshot_CoT,llama4,judge_zeroshot,Relevance,4,Excellent
CLASSIFICATION,299_libras_move,llama4,zeroshot_CoT,gpt-4.1-mini,judge_zeroshot,Accuracy,4,Excellent
CLASSIFICATION,299_libras_move,llama4,zeroshot_CoT,gpt-4.1-mini,judge_zeroshot,Clarity,4,Excellent
CLASSIFICATION,299_libras_move,llama4,zeroshot_CoT,gpt-4.1-mini,judge_zeroshot,Completeness,2,Average
CLASSIFICATION,299_libras_move,llama4,zeroshot_CoT,gpt-4.1-mini,judge_zeroshot,Relevance,4,Excellent
CLASSIFICATION,299_libras_move,llama4,zeroshot_CoT,deepseek-r1:14b,judge_zeroshot,Accuracy,3,Good
CLASSIFICATION,299_libras_move,llama4,zeroshot_CoT,deepseek-r1:14b,judge_zeroshot,Clarity,4,Excellent
CLASSIFICATION,299_libras_move,llama4,zeroshot_CoT,deepseek-r1:14b,judge_zeroshot,Completeness,3,Good
CLASSIFICATION,299_libras_move,llama4,zeroshot_CoT,deepseek-r1:14b,judge_zeroshot,Relevance,4,Excellent
